text,y_true,y_pred,prob_pos,pred_conf,is_error,tok_len,is_truncated,unk_ratio,has_contrast,has_negation,error_type,comment
"The very first talking picture has returned from oblivion, and now you can hear it and see it! In autumn of 1894, at the Edison lab complex in West Orange, New Jersey, Thomas Edison's associate William Dickson tried to combine two existing technologies (the phonograph and the kinetoscope) to record sound and image together. In the event, Dickson was unable to synchronise the playback of sound and image, so this experimental film was never released to paying audiences ... and consequently (unlike many silent films which Dickson made for Edison at this time) it has no official title. The silent image (recorded at 40 fps) has been in the Library of Congress for years, known to film historians as a mute curiosity. It was also known that the 'soundtrack' had been recorded on one of the crude wax cylinders languishing at the Edison National Historic Site ... although nobody knew which one.<br /><br />But now that's changed. Recently, curators located the wax cylinder, which had broken into several pieces. These were reassembled: a playback was obtained, and the sound was digitised. Hollywood's veteran soundtrack editor Walter Murch cleaned up the background noise and tweaked the digitisation to make it synch with the film image, which Murch had digitally compressed to 30 fps. Sound and image are synchronised at last!<br /><br />The film begins with an offscreen man's voice calling: 'The rest of you fellows ready? Go ahead!' (The unseen speaker remains unidentified, but was probably Dickson's assistant Fred Ott.) On screen, Dickson plays a violin into an immense funnel mounted on a tripod (one of Edison's sound-recording devices) while alongside him, in full view of the camera, two male lab assistants embrace each other for some quick ballroom dancing to the tempo of Dickson's music.<br /><br />The film lasts barely 17 seconds: just long enough for us to marvel at this crude technology before being provoked to laughter at the sight of two men waltzing in each other's arms. Speaking of which, here's a WARNING: a well-known but extremely inaccurate reference book ('The Celluloid Closet', by the late Vito Russo) includes a frame enlargement from this movie and identifies it as 'The Gay Brothers'. That's incorrect. 'The Gay Brothers' is an entirely different movie, made by Dickson at the Edison lab during this same period. 'The Gay Brothers' never had a soundtrack: it's a brief fiction film about two brothers who are NOT 'gay' in the sense Russo meant it. The deceased Mr Russo, for his own reasons, wanted us to perceive Dickson's experimental sound film (arguably the first movie musical!) as an artefact of 19th-century homoeroticism. (Hmm, what is it about gay men and musicals?) Sorry, but there's just no such content here.<br /><br />This vitally important film deserves a rating of 10 out of 10. I've often maintained that no 'lost' movie should ever be considered irretrievable unless it was deliberately destroyed: I'm delighted to report that this film is finally available to audiences as its producer intended it, more than a century after it was filmed!",1,0,0.3946984708309173,0.6053014993667603,True,523.0,True,0.07421875,,,,
"If you want to have a great time then this is THE movie to watch.<br /><br />Take the premise - There is this college which admits people with minimum qualifications of BA, B.Com, M.Com, MA, MBA, MCA, B.E., M.Tech and BCA. So you have to take into account the time consumed and thus it is obvious that all students are 40+ Also the school admits students of a 'heavier' dispensation and has a course of P.Hd in weight loss and the only student who failed this course is Manisha Koirala. Only she was a snake in the past life. Still not convinced? OK read on.<br /><br />Here's a scene. Akshay Kumar, a college student, is chased by Arman and he takes out a bazooka and shoots him! Then throws grenades. Then one of the grenades hits Akshay. But doesn't die and continues to fight, Arman, the snake, plunges a half foot dagger into Akshay and stomps on it but Akshay is still there. Then Akshay gets on a jet ski and follows Arman. They fight and Arman chokes Akshay underwater and finally Akshay is dead. So we think, as soon as Arman is out of the picture Akshay swims away to Raj Babbar, Principal of this college + Boxing Refree + Parapsychology ka professor + mumbling priest.<br /><br />But no one, I repeat no one takes the cake but a certain Mr. Nigam. You gotto watch to learn more. :-)",1,0,0.0140211759135127,0.9859787821769714,True,,,,,,,
"Basically an endearingly chintzy and moronic $1.50 version of the nifty early 80's subterranean creature feature favorite ""The Boogens,"" this entertainingly schlocky cheapie centers on a nasty, squirmy, wriggling monster who makes an instant meal out of any unfortunate souls foolhardy enough to go poking around the notoriously off limits Gold Spike Mine. Your standard-issue motley assortment of intrepid boneheads -- hectoring hard-nosed mine boss, cute, but insipid blonde babe, feisty lady geologist, boozy, inexplicably Aussie-accented (!) seasoned old mine hand, charmless doofus, hunky, jolly guy, and, arguably the most annoying character of the uniformly irritating bunch, a nerdy bespectacled aspiring writer dweeb who's prone to speaking in flowery, melodramatic utterances -- trek into the dark, uninviting cave in search of gold. Naturally, these intensely insufferable imbeciles discover that the allegedly abandoned mine is the home of a deadly, ugly, multi-tentacled beast who in time honored hoary B-flick fashion proceeds to gruesomely bag the group one at a time. Directed, co-written, co-produced and co-edited with dumbfounding maladroitness by Melanie Anne Phillips, acted with dismaying flatness by a rank no-name cast, further marred by lethargic pacing, a drably meandering narrative, murky, under-lit, eye-straining cinematography, a shivery, redundantly thudding pseudo-John Carpenter synthesizer score, and a cruddy, herky-jerky stop motion animation wormoid thingie that's only quickly glimpsed at the very end of the movie, this extremely clunky, amateurish and hence quite delectably dreadful would-be scarefest commits all the necessary bad film missteps to qualify as a real four-star stinkeroonie.",1,0,0.0482243485748767,0.9517756700515748,True,259.0,True,0.1015625,,,,
"Extraordinary Rendition is a frightening practice authorized, surprisingly, under Clinton, that allows the U.S. government to seize and hold anyone suspected, seemingly for any reason, of being a terrorist against the United States. This is a touchy issue, especially after 9/11, because supporters of the practice will always criticize the opposition as withholding vital power from the U.S. that it needs to effectively fight terror. Fanatic supporters will label the opposition as terrorists in themselves. <br /><br />But like a recent film that lent a similar level of humanity to the death penalty, The Life of David Gale, Rendition shows us a story of the misuse of extraordinary rendition, or at least the ease with which it can be exploited and falsely applied. The story involves Anwar El- Abrahimi, an American chemical engineer born in Egypt who is seized on his way back to America from giving a lecture in Egypt. The cause given is that he made phone calls to a known terrorist. No proof is ever given (or needed) that it was Anwar that made the calls, that his phone was never lost of stolen. <br /><br />Meanwhile, Anwar's extremely pregnant wife, Isabella, is back in the states frantically trying to find her husband, who got onto a plane to Chicago but apparently never got off. The flimsy explanation that he was never there evaporates when she discovers that he made an in-flight purchase using his credit card. <br /><br />Lately I have been researching modern Chinese history, particularly that of the astonishingly selfish and brutal dictatorship set up by Mao Tse-tung, and it is more than a little frightening to see the similarities between extraordinary rendition and some of Mao's brutal scare tactics, including his public executions (which the people were forced to watch), and extensive use of torture specifically used to extract ""confessions."" <br /><br />It is pretty disturbing to notice that Mao specifically did these things to create an environment of fear in order to achieve obedience from the Chinese people. To say that the Bush administration has not created an environment of fear and continues to milk it for everything it's worth would be naïve in the extreme, and although extraordinary rendition was not created under Bush, it is clear that it does more harm than good.<br /><br />Adding to the thickness of the film is Douglas Freeman (Jake Gyllenhaal), who works behind a desk for the CIA and has little field experience, until his boss is assassinated and he suddenly finds himself supervising the torture of a man that he quickly comes to doubt has anything to reveal. Fatima's (Freeman's boss) daughter also plays a pivotal role, as does a senatorial aide played by Peter Sarsgaard, who might have the most satisfying role in the movie. Meryl Streep is also suitably cold and clinical as a chilly senator with a dogmatic support of the necessity and practice of rendition. <br /><br />As a political thriller, the movie is remarkably well-crafted and paced. But the scariest thing about it is that this is all real. The movie's goal is to get people to really think about the things done in America's name, especially when they claim to be done to prevent those same things. Conducting terror in the name of preventing terror will win no sympathy for us, nor will extracting confessions through brutal torture, which is the basest form of criminal investigation. <br /><br />Unfortunately, we are gradually heading in that direction, of doing these things more rather than less. The frightening question is what is the event that is going to take place at some point in the future to convince us to stop and head the other way, toward civilization and peace, or will we just keep heading toward a military dictatorship until we finally get there?",1,0,0.4670245349407196,0.5329754948616028,True,649.0,True,0.0234375,True,True,,
"Woody Allen (who I have to confess at the outset I have never been a big fan of) directed this quasi-documentary about the life of Emmett Ray (Sean Penn), a 1930's jazz guitarist whose star apparently shone for a while, then quickly faded. Penn does a credible job in the role, portraying a complicated and somewhat neurotic man (not unlike Allen himself, which perhaps explains why Woody would be attracted to this project) who can't maintain relationships, and whose twin passions (aside from guitar playing) were shooting rats at the dump and watching trains.<br /><br />There isn't a great deal of consistency to the story. It's narrated in a sense by a series of modern-day jazz ""experts"" (one of whom is Allen himself), who relate their various theories and interpretations of different events in Ray's life. The end result is a wildly inconsistent account of the life of a fictional man who seems to have been given a fairly interesting life story by his creators, who probably should have done a better job with it. <br /><br />Jazz fans and fans of Woody Allen will probably enjoy this. As for me? The best I can give it is a 3/10.",0,1,0.9958095550537108,0.9958095550537108,True,,,,,,,
"There are so many holes in the plot, it makes you wonder if they knew they had an audience for this and just threw it together. I don't know much about George Zucco, but I've seen him in two movies. Obviously, he has been cast as the loving father, mad scientist, vampire guy. He looks so ordinary. I'm surprised that he ended up in the genre. This is the typical, ""I will create monsters that can be used to fight as an army."" By transferring wolf blood (or is it coyote) to his hired hand, he turns him into a werewolf. Glen Strange, who was one of Karloff's successor's as the Frankenstein monster, plays the kindly, lovable hired man who is victimized because he trusts the mad doctor. At first the scientist is able to control when Petro (his name) can be transformed. But, like the invisible man, suddenly he starts morphing on his own and becomes a liability. There is a little love story of the daughter and a reporter with kind of a high pitched voice (Golly Miss Brooks). She wants to leave but her father, the doctor, won't allow that. He is also driven by a group of his peers who mocked his research before and now he is going to have satisfaction. The way he plot to embarrass or kill them is pretty far fetched and depends a lot on Petro and the guys sitting around waiting to be attacked. It's not a very good movie. The strong point is atmosphere of the woods as people and monsters lurk around the Spanish moss. Once again, the townsfolk are a bunch of morons, who look like they escaped from a bad western. One thing that stayed with me was that a little girl is the first victim and that seems unusual for a film of this era. There's also a pipe smoking old lady who knows about werewolves but nobody listens to her.",0,1,0.817610502243042,0.817610502243042,True,334.0,True,0.0078125,True,True,,
"**SPOILERS AHEAD**<br /><br />It is really unfortunate that a movie so well produced turns out to be<br /><br />such a disappointment. I thought this was full of (silly) clichés and<br /><br />that it basically tried to hard. <br /><br />To the (American) guys out there: how many of you spend your<br /><br />time jumping on your girlfriend's bed and making monkey<br /><br />sounds? To the (married) girls: how many of you have suddenly<br /><br />gone from prudes to nymphos overnight--but not with your<br /><br />husband? To the French: would you really ask about someone<br /><br />being ""à la fac"" when you know they don't speak French? Wouldn't<br /><br />you use a more common word like ""université""? <br /><br />I lived in France for a while and I sort of do know and understand<br /><br />Europe (and I love it), but my (German) roommate and I found this<br /><br />pretty insulting overall. It looked like a movie funded by the<br /><br />European Parliament, and it tried too hard basically. It had all<br /><br />sorts of differences that it tried to tie together (not a bad thing in<br /><br />itself) but the result is at best awkward, but in fact ridiculous--too<br /><br />many clashes that wouldn't really happen. Then the end of the<br /><br />movie--the last 10 minutes--ruined all the rest. Why doesn't Xavier<br /><br />talk to the Erasmus students he meets back in Paris? Why does<br /><br />he just walk off? Why does he just run away from his job, is that<br /><br />""freedom""? And in the end, is the new Europe supposed to rest on<br /><br />a bunch of people who smoke up and shag all day? Is this what<br /><br />it's made up of? <br /><br />Besides, the acting was pretty horrible. I can't believe Judith<br /><br />Godrèche's role and acting. Why was she made to look like<br /><br />Emanuelle Béart so much? At first I thought Xavier was OK but<br /><br />with retrospect I think he was pretty bad. <br /><br />And that's all really too bad, because technically (opening credits,<br /><br />scenes when he's asking what papers he needs) it was really<br /><br />good (except for sound editing around the British siblings), and the<br /><br />soundtrack was great too. So the form was good, but the content<br /><br />pretty horrible.",1,0,0.0063353632576763,0.9936646223068236,True,,,,,,,
"Masterpiece. Carrot Top blows the screen away. Never has one movie captured the essence of the human spirit quite like ""Chairman of the Board."" 10/10... don't miss this instant classic.",0,1,0.9955077171325684,0.9955077171325684,True,,,,,,,
"i hate vampire movies. with that said, this one was very interesting to me. i do want to point out one thing tho. ""bakjwi"" literally means bat in korean and we all know that in many classic vampire stories, you see count Dracula or vampires turning into a bat and fly away or wuheva. We also know that bats are mammals that can fly thus many categorizes them to be ""exceptional."" As I watched the film, I realized that the theme of bat is deeply embedded in this movie more than just to make the bat-vampire connection.<br /><br />Duality of human nature = if you ever read aesop's fables, there is this one fable where mammals and birds are fighting and a bat just can't seem to take a side and it tries to play both sides to his advantage. Mammals and birds find out what this bat has been doing and banish the bat out of their lands at the end of the story.<br /><br />the two contradicting sides of human nature are constantly at battle throughout the film ex. sang-hyun's blind priest friend, sang-hyun's effort to quench thirst and his sexual desire, tae-ju playing both sides, her ordinary boring life vs. her thrill seeking vampire adventure, etc (won't ruin too much, u have to watch the film) and this theme is beautifully presented on a plate with delicious sides of romance, sex, violence, religion, dark-comedy,tragedy, vengeance, you name it!<br /><br />i feel like many would find this movie boring and too long, but this film is very fresh and new, something that i haven't seen b4 yet. I wouldn't say this is CW Park's best work, but it is mos. def. the strangest to comprehend yet darkly intriguing!",1,0,0.3505335450172424,0.6494665145874023,True,306.0,True,0.0546875,,,,
"On more than one level, I can relate to what happens in this movie in a very personal way. And all I can say about it is, that it's true, what Dexter's mom tells Eric at the end of the story: he actually did 'cure' her son, by taking away his sad feelings and his loneliness.<br /><br />This movie emphasis a philosophy I can very well agree with. We are all going to die one day sooner or later. In the end, it is not the amount of time we live, but the fun/good times/happiness we have during that time. It is not the quantity, but the quality that counts.<br /><br />I guess all other words used here would only keep you any longer from getting to see this movie, if you haven't already. I really would like to see it released on DVD. Definitely it would be added to my 'all time classics' right away!",1,0,0.4282691180706024,0.5717308521270752,True,,,,,,,
